id;gender;phone;city;country;user_id
1;MALE;652-008-4824 x25354;South Noemi;Wallis and Futuna;2
2;OTHER;145.381.0224 x2829;Dinamouth;Ecuador;2
3;OTHER;340-657-2742 x9827;New Fordland;Malawi;2
4;OTHER;199-278-7024;East Pearlbury;Anguilla;1
5;OTHER;265-171-3729 x1974;Elsefort;France;1
6;FEMALE;(842) 332-1431;West Mafalda;Luxembourg;1
7;OTHER;1-066-930-0072;Keelingshire;Myanmar;1
8;MALE;(928) 467-4821;North Jayson;Mongolia;1
9;FEMALE;(106) 487-6192 x14239;Croninborough;Yemen;2
10;OTHER;1-364-615-0014 x4515;Lilianaborough;New Zealand;2
